Time (us),ADC1,ADC2
818156,0.793,0.241
819694,1.872,2.315
821201,0.497,0.080
822927,2.318,1.858
824454,0.200,0.744
825972,2.057,1.462
827490,0.396,1.017
829018,1.802,1.139
830529,0.661,1.333
832057,1.532,0.844
833600,1.185,1.838
835112,1.101,0.466
836644,1.519,2.100
838154,0.805,0.247
839690,1.843,2.294
841197,0.509,0.085
842901,2.395,2.025
844418,0.072,0.503
846173,0.774,0.232
847689,1.871,2.314
849214,0.421,0.048
850910,2.372,1.978
852417,0.104,0.546
853935,2.267,1.761
855447,0.232,0.727
856984,2.018,1.396
858487,0.418,1.038
860031,1.736,1.063
861530,0.704,1.380
863077,1.412,0.727
864607,1.274,1.916
866131,0.982,0.371
867659,1.658,2.186
869185,0.607,0.130
870710,2.003,2.363
872225,0.360,0.027
873932,2.308,1.833
875440,0.172,0.682
876975,2.068,1.473
878481,0.372,0.979
880017,1.836,1.172
881509,0.552,1.203
883051,1.608,0.917
884582,1.085,1.752
886103,1.196,0.544
887631,1.456,2.049
889156,0.815,0.258
890680,1.811,2.269
892199,0.526,0.088
893892,2.410,2.084
895390,0.031,0.369
897140,0.933,0.341
898662,1.684,2.211
900178,0.646,0.154
901692,1.902,2.326
903208,0.461,0.059
904916,2.357,1.939
906421,0.114,0.563
907949,2.187,1.659
909458,0.260,0.817
910994,1.975,1.339
912494,0.469,1.102
914035,1.716,1.034
915542,0.765,1.449
917084,1.335,0.662
918615,1.340,1.963
920139,0.930,0.342
921651,1.620,2.153
923171,0.698,0.185
924705,1.966,2.354
926225,0.356,0.025
927926,2.323,1.863
929422,0.109,0.552
930947,2.222,1.685
932451,0.234,0.776
933991,1.996,1.372
935497,0.476,1.106
937028,1.753,1.075
938533,0.699,1.376
940087,1.341,0.663
941616,1.347,1.974
943142,0.916,0.312
944665,1.695,2.209
946185,0.595,0.131
947716,2.023,2.379
949235,0.322,0.011
950915,2.358,1.955
952422,0.114,0.557
953951,2.187,1.666
955467,0.292,0.867
957010,1.869,1.208
958516,0.580,1.242
960058,1.572,0.881
961587,1.125,1.780
963107,1.185,0.540
964640,1.513,2.089
966164,0.747,0.216
