Time (us),ADC1,ADC2
2453698,0.566,1.219
2455388,0.497,0.072
2457258,1.502,0.819
2458930,2.169,2.420
2461202,1.949,1.296
2462864,1.768,2.256
2464524,0.000,0.126
2466128,2.228,1.697
2467782,1.147,1.804
2469430,0.245,0.000
2471925,2.035,2.385
2473588,0.054,0.441
2475498,0.048,0.033
2477473,0.102,0.000
2479110,2.314,1.852
2480755,0.972,1.642
2482440,0.212,0.000
2484675,0.302,0.894
2486354,0.713,0.192
2488042,2.433,2.222
2489688,0.498,1.141
2491373,0.595,0.127
2493046,2.427,2.185
2495314,1.139,0.476
2496987,2.370,2.388
2498664,0.342,0.922
2500325,0.906,0.325
2502002,2.398,2.357
2503653,0.303,0.880
2505937,2.095,2.404
2507591,0.056,0.448
2509499,0.044,0.030
2511472,0.109,0.000
2513108,2.324,1.883
2514757,0.993,1.663
2516453,0.154,0.000
2518701,0.456,1.095
2520381,0.522,0.088
2522265,1.438,0.759
2523951,2.243,2.423
2525599,0.085,0.510
2527504,0.034,0.039
2530075,2.432,2.147
2531734,0.810,1.496
2533429,0.262,0.001
2535330,0.958,0.357
2537003,2.401,2.337
2538664,0.342,0.918
2540332,0.847,0.277
2607309,1.211,0.526
2608982,2.354,2.387
2610643,0.234,0.777
2612315,0.983,0.371
2613993,2.376,2.376
2615638,0.232,0.765
2617932,2.082,2.401
2619587,0.047,0.432
2621498,0.052,0.026
2623467,0.126,0.000
2625111,2.320,1.857
2626766,1.058,1.725
2629044,2.426,2.276
2630700,0.568,1.220
2632395,0.454,0.061
2634248,1.576,0.894
2635924,2.139,2.414
2637591,0.052,0.429
2640099,2.387,1.996
2641762,1.021,1.692
2644947,2.226,2.416
2646597,0.077,0.494
2648518,0.012,0.061
2650471,0.117,0.002
2652310,1.076,0.442
2654608,0.050,0.452
2656522,0.004,0.096
2658525,0.000,0.085
2660328,0.947,0.352
2662011,2.415,2.331
2663659,0.341,0.916
2665953,2.176,2.415
2667607,0.101,0.546
2669283,1.259,0.590
2670962,2.300,2.416
2672615,0.120,0.581
2674274,1.292,0.617
2675961,2.279,2.410
2678215,1.854,1.186
2679881,1.884,2.316
2681547,0.000,0.206
2683148,2.126,1.557
2684808,1.350,1.967
2686452,0.143,0.000
2688703,0.471,1.113
2690371,0.591,0.124
2692038,2.429,2.232
2693674,0.416,1.036
2695349,0.761,0.222
2697011,2.418,2.315
2699278,1.412,0.717
2700951,2.250,2.424
2702606,0.099,0.524
2704504,0.038,0.044
2706479,0.092,0.007
2708494,0.052,0.024
2710470,0.123,0.001
2712956,2.198,2.420
2714616,0.133,0.618
2716300,1.125,0.485
2717975,2.345,2.403
2719640,0.222,0.754
2721300,1.093,0.460
2723594,0.027,0.370
2725504,0.032,0.046
2727477,0.102,0.005
2729365,0.670,0.171
2731046,2.429,2.187
2732701,0.590,1.248
2734396,0.454,0.060
2736860,1.618,2.167
2738520,0.002,0.106
2740404,0.449,0.048
2742260,1.507,0.817
2743930,2.169,2.419
2745596,0.065,0.464
2748107,2.368,1.959
2749772,1.096,1.764
2751432,0.242,0.000
2753061,2.421,2.122
2754716,0.664,1.325
2756391,0.455,0.063
2758858,1.607,2.161
2760508,0.007,0.083
2762517,0.011,0.086
2764481,0.085,0.008
2766496,0.042,0.031
2768475,0.114,0.000
2770111,2.317,1.851
2772364,0.772,0.222
2774044,2.433,2.206
2775699,0.541,1.194
2777372,0.568,0.116
2779055,2.428,2.155
2780698,0.567,1.221
2782989,2.328,2.408
2784646,0.262,0.816
2786335,0.861,0.287
2788011,2.419,2.320
2789685,0.465,1.091
2791359,0.664,0.164
2793045,2.432,2.187
2795313,1.155,0.497
2796986,2.366,2.381
2798659,0.288,0.895
2800331,0.866,0.286
2802020,2.427,2.299
2803675,0.429,1.049
2805971,2.265,2.422
2807624,0.161,0.658
2809304,1.094,0.456
2810981,2.351,2.393
2812645,0.245,0.792
2814313,0.997,0.386
2816613,0.060,0.470
2818512,0.025,0.046
2820486,0.078,0.013
2822432,0.254,0.000
2824077,2.394,2.051
2825718,0.701,1.372
2827402,0.419,0.043
2829869,1.682,2.187
2831535,0.000,0.184
2833157,2.111,1.524
2834797,1.282,1.925
2836446,0.183,0.000
2838070,2.406,2.077
2840338,0.970,0.353
2842025,2.426,2.269
2843687,0.470,1.105
2845346,0.751,0.212
2847020,2.425,2.308
2848668,0.391,0.989
2850357,0.696,0.187
2852633,0.119,0.587
2854292,1.156,0.510
2855966,2.305,2.421
2857609,0.120,0.575
2859280,1.281,0.607
2860943,2.227,2.421
2863207,1.923,1.272
2864855,1.725,2.232
2866503,0.016,0.057
2868476,0.111,0.000
2870103,2.340,1.905
2871751,0.949,1.626
2874056,2.433,2.227
2875701,0.579,1.228
2877397,0.447,0.053
2879274,1.386,0.706
2880947,2.247,2.425
2882615,0.122,0.585
2884274,1.296,0.621
2886568,0.000,0.241
2888188,1.933,1.293
2889852,1.670,2.198
2891496,0.027,0.050
2893483,0.079,0.007
2895496,0.049,0.028
2898081,2.420,2.102
2899736,0.827,1.508
2901428,0.266,0.002
2903279,1.351,0.675
2904944,2.234,2.419
2906607,0.099,0.527
2908510,0.039,0.042
2911085,2.416,2.099
2912741,0.874,1.547
2914429,0.260,0.003
2916317,1.060,0.432
2917973,2.338,2.402
2919641,0.226,0.758
2921927,2.044,2.391
2923583,0.039,0.402
2925493,0.063,0.023
2927447,0.202,0.000
2929094,2.366,1.967
2930742,0.872,1.550
2933039,2.425,2.284
2934695,0.536,1.182
2936377,0.560,0.111
2938029,2.435,2.257
2939699,0.548,1.200
2941360,0.657,0.160
2943037,2.431,2.237
2945295,1.286,0.600
2946988,2.375,2.381
2948663,0.297,0.924
2950337,0.817,0.259
2952025,2.421,2.280
2953677,0.437,1.062
2955967,2.243,2.425
2957619,0.145,0.624
2959309,1.056,0.430
2960980,2.358,2.394
2962648,0.259,0.811
2964319,0.949,0.353
2966010,2.414,2.332
2968267,1.491,0.788
2969958,2.278,2.416
2971620,0.138,0.613
2973282,1.222,0.569
2974960,2.283,2.422
2976599,0.081,0.514
3010022,2.404,2.338
3011678,0.446,1.072
3013366,0.648,0.155
3015030,2.432,2.252
3016684,0.457,1.091
3018361,0.654,0.151
3020652,0.201,0.734
3022323,0.916,0.335
3024014,2.416,2.321
3025654,0.310,0.877
3027339,0.830,0.263
3029012,2.414,2.315
3030674,0.393,1.010
3032963,2.217,2.422
3034612,0.124,0.591
3036284,1.244,0.580
3037961,2.299,2.416
3039626,0.164,0.663
3041294,1.141,0.497
3043592,0.021,0.359
3045485,0.069,0.009
3047493,0.049,0.024
3049477,0.089,0.007
3051475,0.105,0.002
3053317,1.023,0.400
3055599,0.030,0.389
3057514,0.013,0.072
3059465,0.131,0.000
3061108,2.326,1.865
3062756,0.988,1.659
3064450,0.171,0.000
3066076,2.397,2.040
3068346,0.899,0.304
3070033,2.436,2.250
3071695,0.522,1.170
3073370,0.584,0.118
3075048,2.429,2.193
3076702,0.592,1.254
3078994,2.346,2.402
3080646,0.259,0.813
3082327,0.915,0.332
3083996,2.387,2.360
3085666,0.355,0.948
3087340,0.795,0.241
3089030,2.436,2.267
3091295,1.295,0.609
3092976,2.344,2.404
3094638,0.216,0.741
3096298,1.100,0.465
3097989,2.372,2.387
3099647,0.275,0.840
3101940,2.126,2.412
3103593,0.065,0.458
3105513,0.020,0.061
3107483,0.081,0.008
3109501,0.036,0.045
3111475,0.103,0.002
3113963,2.230,2.424
3115613,0.133,0.597
3117295,1.167,0.514
3118971,2.332,2.409
3120625,0.160,0.649
3122286,1.201,0.545
3123967,2.303,2.419
3126230,1.771,1.087
3127886,1.924,2.338
3129561,0.002,0.270
3131473,0.109,0.000
3133095,2.344,1.934
3134759,0.955,1.650
3137053,2.430,2.233
3138713,0.657,1.323
3140404,0.406,0.040
3142265,1.447,0.768
3143938,2.187,2.417
3145606,0.098,0.528
3147516,0.013,0.071
3150071,2.431,2.165
3151732,0.807,1.476
3153426,0.282,0.004
3155314,1.077,0.447
3156985,2.373,2.387
3158661,0.295,0.910
3160950,2.181,2.420
3162608,0.109,0.552
3164285,1.238,0.579
3165960,2.299,2.412
3167624,0.156,0.645
3169301,1.078,0.454
3171590,0.022,0.357
3173498,0.044,0.031
3175473,0.111,0.001
3177358,0.723,0.198
3179053,2.426,2.169
3180699,0.579,1.232
3182388,0.497,0.079
3184847,1.527,2.101
3186492,0.034,0.039
3188469,0.138,0.000
3190116,2.301,1.825
3191755,0.961,1.648
3193446,0.183,0.000
3195686,0.371,0.986
3197363,0.649,0.155
3199056,2.422,2.154
3200698,0.570,1.224
3202381,0.543,0.103
3204036,2.436,2.221
3205698,0.539,1.193
3207986,2.321,2.411
3209642,0.240,0.788
3211334,0.866,0.290
3213015,2.426,2.298
3214686,0.474,1.101
3216354,0.693,0.180
3218660,0.213,0.796
3220338,0.816,0.264
3222029,2.427,2.271
3223669,0.395,1.010
3225358,0.692,0.177
3227026,2.429,2.265
3229307,1.188,0.526
3230981,2.356,2.393
3232649,0.268,0.826
3234323,0.916,0.331
3236007,2.405,2.344
3237648,0.282,0.848
3239334,0.863,0.291
3241620,0.082,0.526
3243519,0.009,0.087
3245524,0.000,0.108
3247141,2.183,1.644
3248789,1.231,1.882
3250451,0.166,0.000
3252689,0.386,1.004
3254365,0.634,0.148
3256055,2.425,2.150
3257709,0.644,1.308
3259400,0.429,0.047
3261270,1.406,0.730
3262935,2.199,2.421
3265203,1.944,1.293
3266865,1.777,2.260
3268532,0.000,0.135
3270142,2.162,1.605
3271796,1.259,1.894
3273443,0.182,0.000
3275685,0.371,0.986
3277355,0.706,0.189
3279042,2.430,2.220
3280687,0.505,1.149
3282365,0.645,0.154
3284030,2.436,2.249
3286299,1.259,0.585
3287967,2.310,2.415
3289628,0.175,0.675
3291298,1.112,0.472
3292966,2.303,2.416
3294606,0.098,0.555
3296528,0.001,0.108
3299053,2.432,2.244
3300705,0.608,1.276
3302393,0.465,0.064
3304262,1.477,0.789
3305943,2.228,2.418
3307607,0.099,0.536
3310117,2.337,1.895
3311780,1.163,1.819
3313439,0.216,0.000
3315065,2.415,2.099
3316733,0.779,1.458
3318413,0.332,0.008
3320315,1.054,0.431
3322606,0.050,0.440
3324526,0.000,0.116
3326131,2.210,1.680
3327773,1.080,1.746
3329423,0.275,0.003
3331323,0.995,0.382
3333620,0.089,0.524
3335536,0.000,0.144
3337138,2.176,1.632
3338797,1.259,1.898
3340439,0.196,0.000
3342087,2.371,2.001
3344340,0.947,0.343
3346005,2.405,2.343
3347663,0.341,0.929
3349333,0.841,0.273
3351006,2.410,2.346
3352645,0.259,0.826
3354329,0.905,0.322
3356602,0.044,0.429
3358520,0.016,0.076
3360482,0.083,0.010
3362428,0.276,0.003
3364316,1.059,0.430
3366000,2.395,2.363
3368265,1.518,0.818
3369953,2.266,2.421
3371619,0.139,0.612
3373288,1.186,0.532
3374971,2.322,2.411
3376608,0.112,0.566
3378272,1.336,0.657
3414842,1.486,2.094
3416507,0.009,0.074
3418530,0.000,0.116
3420143,2.174,1.623
3421793,1.259,1.899
3429502,0.050,0.032
3431481,0.072,0.008
3433476,0.087,0.000
3435338,0.873,0.290
3437009,2.414,2.320
3438680,0.436,1.055
3440354,0.693,0.179
3442654,0.214,0.752
3444324,0.918,0.333
3446005,2.404,2.349
3447647,0.275,0.841
3449339,0.828,0.265
3451011,2.421,2.316
3453270,1.472,0.770
3454943,2.223,2.426
3456610,0.100,0.553
3458255,1.432,0.751
3459946,2.222,2.422
3461583,0.037,0.413
3464096,2.392,2.016
3465749,0.924,1.608
3467430,0.257,0.000
3469071,2.405,2.069
3470727,0.745,1.417
3472402,0.391,0.034
3474273,1.395,0.712
3476560,0.000,0.204
3478175,2.022,1.402
3479837,1.572,2.128
3481482,0.059,0.022
3483467,0.121,0.000
3485097,2.357,1.948
3487366,0.757,0.212
3490544,0.000,0.214
3492173,2.025,1.413
3493818,1.449,2.051
3495470,0.102,0.003
3497354,0.774,0.235
3499024,2.425,2.271
3501296,1.286,0.603
3502976,2.332,2.405
3504632,0.186,0.702
3506298,1.106,0.468
3507983,2.358,2.397
3509646,0.274,0.839
3511944,2.147,2.418
3513596,0.065,0.478
3515518,0.006,0.078
3517525,0.001,0.109
3519450,0.199,0.000
3521085,2.382,1.992
3523359,0.810,0.244
3525035,2.432,2.231
3526696,0.531,1.178
3528359,0.652,0.163
3530045,2.432,2.207
3531686,0.495,1.137
3533379,0.554,0.106
3535645,0.181,0.705
3537320,0.957,0.365
3539017,2.421,2.314
3540663,0.360,0.961
3542349,0.757,0.221
3544022,2.426,2.280
3546298,1.277,0.585
3547972,2.331,2.409
3549640,0.226,0.761
3551306,1.046,0.423
3552989,2.375,2.387
3554643,0.258,0.816
3556331,0.882,0.305
3558619,0.074,0.489
3560534,0.000,0.142
3562142,2.159,1.605
3563802,1.304,1.932
3565443,0.179,0.001
3567344,0.834,0.270
3569630,0.114,0.588
3571297,1.128,0.486
3572981,2.343,2.399
3574626,0.184,0.693
3576307,1.065,0.437
3577978,2.357,2.399
3580263,1.518,0.824
3581941,2.216,2.422
3583603,0.087,0.508
3585512,0.016,0.063
3587484,0.074,0.013
3589431,0.257,0.000
3591083,2.393,2.027
3593341,0.937,0.335
3595018,2.425,2.302
3596686,0.470,1.106
3598349,0.730,0.203
3600029,2.431,2.269
3601678,0.446,1.073
3603972,2.270,2.422
3605628,0.181,0.691
3607315,1.009,0.396
3608994,2.391,2.361
3610653,0.280,0.856
3612334,0.833,0.260
3614017,2.419,2.310
3616278,1.444,0.730
3617949,2.248,2.426
3619618,0.138,0.606
3621292,1.149,0.503
3622976,2.340,2.408
3624620,0.157,0.647
3626914,1.988,2.368
3628588,0.038,0.395
3630505,0.035,0.038
3632464,0.134,0.000
3634101,2.339,1.918
3635748,0.917,1.602
3638045,2.428,2.267
3639701,0.579,1.231
3641394,0.460,0.062
3643246,1.591,0.908
3644911,2.077,2.398
3646583,0.038,0.393
3648491,0.073,0.016
3651060,2.432,2.212
3652702,0.596,1.259
3654395,0.455,0.063
3656260,1.474,0.797
3657938,2.215,2.424
3659605,0.090,0.522
3662105,2.370,1.959
3663769,1.084,1.750
3665437,0.223,0.000
3667062,2.421,2.105
3668715,0.658,1.328
3670385,0.491,0.076
3672261,1.467,0.782
3674558,0.000,0.200
3676164,2.062,1.467
3677816,1.413,2.018
3679457,0.126,0.000
3681090,2.370,1.979
3682741,0.870,1.547
3685039,2.430,2.281
3686695,0.536,1.188
3688380,0.547,0.098
3690261,1.480,0.797
3691943,2.230,2.420
3693595,0.063,0.453
3696096,2.394,2.010
3697748,0.920,1.595
3699449,0.169,0.000
3701087,2.373,1.974
3702747,0.888,1.567
3704426,0.254,0.000
3706076,2.405,2.056
3708337,0.975,0.359
3710017,2.426,2.301
3711678,0.422,1.045
3713343,0.769,0.234
3715025,2.431,2.286
3716676,0.435,1.060
3718983,2.298,2.418
3720640,0.242,0.785
3722328,0.910,0.322
3723994,2.395,2.357
3725660,0.312,0.905
3727329,0.877,0.299
3729026,2.427,2.285
3731291,1.321,0.634
3732964,2.308,2.415
3734631,0.186,0.695
3736310,1.015,0.402
3737989,2.372,2.387
3739644,0.260,0.817
3741933,2.066,2.397
3743592,0.067,0.469
3745509,0.025,0.054
3747477,0.098,0.012
3749444,0.209,0.000
3751084,2.390,2.021
3753346,0.900,0.304
3755013,2.419,2.317
3756681,0.443,1.064
3758351,0.713,0.192
3760037,2.439,2.239
3761683,0.479,1.112
3763368,0.634,0.143
3765652,0.205,0.751
3767317,0.975,0.367
3769021,2.428,2.298
3770676,0.437,1.060
3772358,0.696,0.176
3774024,2.434,2.274
3776296,1.276,0.601
3777970,2.318,2.405
3779634,0.202,0.714
3781295,1.127,0.484
3782981,2.348,2.400
3784626,0.181,0.690
3786319,0.982,0.365
3821485,0.108,0.007
3823374,0.622,0.144
3825041,2.429,2.187
3826709,0.615,1.279
3828378,0.530,0.093
3830248,1.554,0.872
3832545,0.000,0.151
3834154,2.121,1.541
3835806,1.342,1.960
3837449,0.154,0.000
3839100,2.348,1.925
3840744,0.898,1.576
3843039,2.427,2.281
3844687,0.488,1.122
3846366,0.641,0.149
3848032,2.433,2.241
3849684,0.460,1.088
3851351,0.714,0.195
3853024,2.427,2.288
3855285,1.370,0.678
3856955,2.269,2.413
3858630,0.161,0.689
3860295,1.123,0.485
3861977,2.342,2.403
3863617,0.148,0.634
3865907,1.944,2.350
3867551,0.000,0.246
3869183,1.964,1.321
3870827,1.526,2.100
3872493,0.042,0.037
3874471,0.111,0.001
3876959,2.187,2.422
3878619,0.130,0.646
3880310,1.049,0.424
3881981,2.360,2.383
3883639,0.227,0.747
3885301,1.080,0.448
3886981,2.351,2.398
3889241,1.689,0.989
3890933,2.182,2.422
3892598,0.070,0.480
3894517,0.002,0.076
3896522,0.003,0.098
3898537,0.000,0.152
3900765,0.894,1.581
3902448,0.167,0.000
3904094,2.362,1.958
3905741,0.866,1.549
3907432,0.243,0.000
3909069,2.408,2.070
3910735,0.790,1.476
3913017,2.401,2.349
3914673,0.406,1.022
3916360,0.676,0.168
3918032,2.435,2.244
3919697,0.540,1.187
3921376,0.546,0.102
3923657,0.223,0.775
3925328,0.894,0.309
3927016,2.420,2.314
3928663,0.367,0.965
3930354,0.719,0.195
3932020,2.430,2.288
3934298,1.259,0.578
3935983,2.360,2.393
3937657,0.302,0.884
3939333,0.845,0.273
3941022,2.427,2.293
3942667,0.384,0.991
3944356,0.712,0.193
3946639,0.144,0.645
3948315,0.989,0.373
3950010,2.414,2.330
3951660,0.349,0.937
3953348,0.763,0.223
3955016,2.424,2.300
3957281,1.380,0.695
3958973,2.332,2.406
3960629,0.179,0.680
3962303,1.070,0.440
3963994,2.382,2.374
3965643,0.259,0.811
3967326,0.921,0.335
3969612,0.054,0.472
3971519,0.009,0.086
3973534,0.000,0.144
3975149,2.145,1.581
3976790,1.248,1.891
3978453,0.181,0.000
3980697,0.437,1.074
3982370,0.596,0.128
3984052,2.427,2.166
3985703,0.614,1.272
3987380,0.542,0.099
3989241,1.629,0.947
3991530,0.000,0.101
3993133,2.220,1.696
3994796,1.259,1.896
3996437,0.205,0.000
3998075,2.387,2.060
3999723,0.741,1.418
4001403,0.406,0.033
4003869,1.685,2.215
4005522,0.000,0.136
4007147,2.153,1.593
4008790,1.238,1.889
4010455,0.146,0.000
4012086,2.369,1.978
4014363,0.773,0.223
4016024,2.429,2.271
4017676,0.407,1.033
4019343,0.768,0.222
4021014,2.414,2.320
4022659,0.346,0.929
4024343,0.795,0.237
4026627,0.103,0.553
4028276,1.270,0.596
4029976,2.338,2.401
4031616,0.138,0.616
4033291,1.190,0.540
4034957,2.285,2.421
4037225,1.802,1.122
4038869,1.818,2.287
4040530,0.000,0.143
4042137,2.180,1.635
4043800,1.297,1.930
4045451,0.148,0.000
4047709,0.493,1.149
4049386,0.472,0.070
4051269,1.401,0.725
4052950,2.244,2.421
4054601,0.094,0.519
4056496,0.052,0.027
4058475,0.118,0.001
4060966,2.245,2.420
4062622,0.164,0.662
4064306,1.077,0.436
4065983,2.371,2.386
4067650,0.273,0.836
4069321,0.921,0.335
4071614,0.068,0.491
4073527,0.000,0.120
4075132,2.209,1.669
4076793,1.238,1.887
4078442,0.199,0.000
4080086,2.383,2.007
4081721,0.727,1.401
4084009,2.371,2.371
4085652,0.287,0.858
4087339,0.828,0.260
4089005,2.410,2.333
4090651,0.275,0.843
4092319,0.949,0.352
4094609,0.063,0.469
4096521,0.000,0.101
4098114,2.282,1.790
4099776,1.106,1.761
4101413,0.312,0.016
4103264,1.438,0.754
4105558,0.000,0.199
4107179,1.985,1.357
4108840,1.594,2.142
4110481,0.059,0.020
4112471,0.112,0.001
4114351,0.784,0.244
4116029,2.432,2.273
4118284,1.371,0.681
4119961,2.296,2.420
4121632,0.192,0.708
4123299,1.097,0.458
4124989,2.373,2.383
4126634,0.219,0.751
4128926,2.053,2.392
4130581,0.037,0.395
4132502,0.032,0.039
4134455,0.160,0.000
4136091,2.364,1.974
4137739,0.856,1.530
4139430,0.254,0.000
4141678,0.312,0.920
4143354,0.706,0.191
4145049,2.432,2.180
4146696,0.558,1.215
4148377,0.553,0.107
4150033,2.433,2.235
4152296,1.272,0.586
4153968,2.310,2.408
4155637,0.210,0.735
4157307,1.033,0.407
4158990,2.376,2.383
4160642,0.250,0.809
4162935,2.090,2.403
4164584,0.044,0.411
4166495,0.056,0.035
4168456,0.182,0.000
4170102,2.345,1.912
4171750,0.935,1.613
4173436,0.221,0.000
4175679,0.343,0.935
4177354,0.700,0.191
4179051,2.428,2.174
4180693,0.545,1.189
4182384,0.510,0.084
4184236,1.659,0.979
4219277,1.453,0.736
4220950,2.246,2.422
4222607,0.099,0.537
4224524,0.001,0.098
4226531,0.000,0.136
4228148,2.149,1.581
4230417,0.422,0.039
4232265,1.433,0.750
4233940,2.217,2.424
4235606,0.091,0.525
4237506,0.024,0.049
4239484,0.077,0.015
4241439,0.214,0.000
4243695,0.426,1.064
4245374,0.572,0.115
4247053,2.427,2.165
4248707,0.632,1.298
4250397,0.442,0.055
4252266,1.437,0.746
4254552,0.000,0.173
4256162,2.072,1.481
4257817,1.424,2.014
4259456,0.122,0.000
4261084,2.388,2.017
4262720,0.724,1.402
4265004,2.372,2.374
4266654,0.300,0.874
4268329,0.899,0.322
4269999,2.398,2.354
4271662,0.341,0.921
4273325,0.897,0.322
4275001,2.396,2.359
4277264,1.520,0.819
4278935,2.192,2.421
4280595,0.065,0.458
4282508,0.026,0.049
4284481,0.085,0.003
4286487,0.050,0.020
4289076,2.420,2.137
4290724,0.754,1.429
4292417,0.312,0.011
4294272,1.395,0.710
4295946,2.245,2.423
4297603,0.087,0.514
4299512,0.021,0.061
4302087,2.408,2.080
4303737,0.840,1.526
4305421,0.302,0.009
4307319,1.028,0.412
4308990,2.386,2.375
4310660,0.312,0.907
4312940,2.119,2.405
4314588,0.057,0.431
4316491,0.059,0.018
4318473,0.121,0.000
4320110,2.317,1.851
4321759,1.011,1.685
4325509,2.403,2.348
4327163,2.062,1.469
4328831,1.528,2.094
4330483,0.056,0.025
4332467,0.121,0.000
4334102,2.341,1.910
4335754,0.973,1.647
4338054,2.434,2.226
4339715,0.665,1.333
4341400,0.426,0.049
4343269,1.416,0.736
4344935,2.198,2.420
4346605,0.092,0.519
4349119,2.333,1.881
4350770,1.083,1.756
4352433,0.241,0.000
4354068,2.402,2.075
4355727,0.746,1.415
4357407,0.363,0.025
4359288,1.256,0.587
4361578,0.002,0.286
4363515,0.013,0.076
4365488,0.060,0.019
4367470,0.110,0.002
4369319,1.030,0.408
4370994,2.384,2.372
4373254,1.597,0.887
4374942,2.218,2.422
4376597,0.066,0.483
4378518,0.020,0.065
4380488,0.062,0.019
4382450,0.165,0.000
4384708,0.514,1.159
4386387,0.485,0.074
4388268,1.412,0.723
4389956,2.271,2.422
4391603,0.094,0.535
4393498,0.046,0.032
4395455,0.168,0.000
4397705,0.485,1.134
4399389,0.476,0.071
4401270,1.395,0.717
4402959,2.279,2.422
4404603,0.099,0.539
4406520,0.003,0.086
4409140,2.265,1.757
4410797,1.297,1.935
4412465,0.107,0.000
4414096,2.347,1.921
4415758,0.972,1.651
4417431,0.229,0.000
4419084,2.387,2.017
4421345,0.904,0.306
4423023,2.431,2.271
4424677,0.419,1.040
4426338,0.812,0.251
4428019,2.426,2.305
4429665,0.375,0.978
4431969,2.241,2.426
4433621,0.168,0.663
4435305,1.082,0.449
4436977,2.348,2.398
4438651,0.251,0.845
4440313,0.991,0.378
4442609,0.055,0.454
4444506,0.028,0.056
4446463,0.138,0.000
4448113,2.297,1.836
4449769,1.085,1.751
4451423,0.280,0.000
4453061,2.419,2.113
4455329,1.028,0.399
4457009,2.414,2.325
4458680,0.442,1.058
4460351,0.704,0.193
4462035,2.433,2.245
4463677,0.443,1.071
4465971,2.267,2.421
4467624,0.165,0.670
4469310,1.047,0.420
4470992,2.391,2.360
4472653,0.282,0.850
4474327,0.888,0.305
4476013,2.414,2.324
4478274,1.438,0.746
4479964,2.300,2.416
4481619,0.134,0.616
4483284,1.211,0.558
4484969,2.312,2.408
4486614,0.136,0.603
4488905,1.937,2.346
4490563,0.005,0.297
4492506,0.027,0.049
4494466,0.128,0.000
4496101,2.348,1.913
4497749,0.934,1.615
4500052,2.435,2.238
4501710,0.645,1.309
4503397,0.438,0.054
4505265,1.443,0.759
4506933,2.180,2.422
4508604,0.074,0.481
4510495,0.048,0.022
4513075,2.423,2.140
4514715,0.691,1.358
4516406,0.386,0.036
4518275,1.371,0.691
4519940,2.214,2.424
4521603,0.083,0.514
4524091,2.401,2.035
4525737,0.844,1.517
4527429,0.262,0.002
4529293,1.225,0.567
4530969,2.327,2.406
4532634,0.197,0.717
4534309,1.018,0.402
4536600,0.032,0.410
4538514,0.020,0.066
4540491,0.057,0.021
4542469,0.111,0.001
4544351,0.792,0.241
4546035,2.434,2.244
4548298,1.266,0.586
4549978,2.346,2.393
4551645,0.253,0.800
4553321,0.924,0.335
4555006,2.409,2.341
4556651,0.298,0.874
4558946,2.159,2.413
4560604,0.099,0.532
4562505,0.034,0.045
4564463,0.137,0.000
4566102,2.335,1.905
4567752,0.937,1.625
4569444,0.188,0.000
4571687,0.376,1.000
4573358,0.673,0.168
4575051,2.431,2.173
4576691,0.528,1.181
4578379,0.552,0.102
4580043,2.431,2.198
4582311,1.149,0.492
4583993,2.388,2.370
4585670,0.380,0.985
4587357,0.665,0.164
4589049,2.432,2.178
4590693,0.545,1.194
4592383,0.526,0.087
4661192,2.007,1.354
4662839,1.614,2.152
4664496,0.031,0.043
4666470,0.119,0.001
4668358,0.745,0.214
4670047,2.422,2.183
4672310,1.175,0.511
4673987,2.370,2.381
4675660,0.312,0.910
4677333,0.828,0.273
4679016,2.421,2.315
4680658,0.340,0.926
4682957,2.207,2.415
4684611,0.119,0.572
4686287,1.217,0.559
4687954,2.281,2.423
4689621,0.146,0.623
4691291,1.151,0.503
4692965,2.300,2.417
4695215,1.861,1.188
4696871,1.829,2.288
4698540,0.000,0.168
4700151,2.105,1.524
4701803,1.309,1.944
4703443,0.175,0.000
4705695,0.435,1.075
4707368,0.608,0.129
4709049,2.433,2.179
4710692,0.536,1.188
4712370,0.602,0.136
4714031,2.435,2.244
4716296,1.276,0.591
4717969,2.322,2.411
4719621,0.144,0.634
4721282,1.224,0.568
4722961,2.289,2.420
4724611,0.127,0.586
4726291,1.181,0.526
4728572,0.000,0.247
4730191,1.907,1.258
4731857,1.714,2.217
4733498,0.016,0.056
4735473,0.110,0.001
4737362,0.713,0.190
4739659,0.232,0.798
4741341,0.789,0.237
4743031,2.433,2.261
4744671,0.406,1.026
4746357,0.696,0.183
4748024,2.429,2.268
4749689,0.490,1.130
4751979,2.297,2.412
4753634,0.211,0.741
4755309,1.045,0.419
4756978,2.355,2.394
4758640,0.209,0.769
4760315,0.976,0.364
4762616,0.072,0.503
4764506,0.021,0.049
4766481,0.085,0.005
4768496,0.047,0.029
4770477,0.097,0.001
4772488,0.053,0.020
4775076,2.422,2.135
4776720,0.723,1.389
4778414,0.347,0.020
4780287,1.279,0.599
4781966,2.317,2.412
4783624,0.159,0.653
4785287,1.186,0.530
4787588,0.013,0.346
4789488,0.066,0.017
4791474,0.103,0.001
4793365,0.666,0.167
4795049,2.433,2.181
4796693,0.542,1.193
4798995,2.348,2.388
4800656,0.312,0.899
4802343,0.795,0.237
4804008,2.420,2.325
4805675,0.411,1.023
4807338,0.797,0.248
4809026,2.429,2.282
4811287,1.324,0.642
4812965,2.312,2.415
4814620,0.145,0.623
4816286,1.190,0.536
4817967,2.311,2.416
4819610,0.126,0.581
4821905,1.922,2.337
4823562,0.005,0.293
4825490,0.065,0.020
4827467,0.117,0.000
4829102,2.346,1.912
